>	some hippo	most hippo
>	some hungry	most hungry
>	some non-ape	most non-ape
>	some ape	most ape
>	some animal	most animal
>	some dog	most dog
>	some cat	most cat
>	some unable	most unable
>	some able	most able
>	some Thai	most Thai
>	some Asian	most Asian
>	some bird	most bird
>	some crow	most crow
>	some sofa	most sofa
>	some couch	most couch
>	some snail	most snail
>	some vertebrate	most vertebrate
>	some invertebrate	most invertebrate
>	some bark	most bark
>	some puppy	most puppy
>	some feline	most feline
>	some mobile	most mobile
>	some immobile	most immobile
>	some dead	most dead
>	some live	most live
>	some European	most European
>	some French	most French
>	some Parisian	most Parisian
>	some human	most human
>	some animate	most animate
>	some inanimate	most inanimate
>	some seat	most seat
>	some bench	most bench
>	some woody	most woody
>	some plant	most plant
>	some tree	most tree
>	some oak	most oak
>	some bush	most bush
>	some destructible	most destructible
>	some indestructible	most indestructible
>	some mammal	most mammal
