file,sentId,eId,eiId,split,eText,relSourceText,normalization,CT_plus,CT_minus,PR_plus,PR_minus,PS_plus,PS_minus,Uu
ABC19980108.1830.0711.tml,2,e4,ei378,train,helping,READER,the financial assistance from the World Bank and the International Monetary Fund are helping,0,9,0,1,0,0,0
ABC19980108.1830.0711.tml,15,e30,ei398,train,break,READER,Wong Kwan will break even,0,0,0,5,0,1,4
ABC19980108.1830.0711.tml,18,e34,ei401,train,find,READER,Pak can find buyers,0,9,0,0,0,0,1
ABC19980108.1830.0711.tml,21,e41,ei407,train,believe,READER,someone believes this,0,9,1,0,0,0,0
ABC19980108.1830.0711.tml,23,e46,ei412,train,spending,READER,people are spending in Asia,0,7,0,1,0,0,2
ABC19980108.1830.0711.tml,29,e54,ei419,train,layoffs,READER,there will be layoffs,1,0,3,0,6,0,0
ABC19980114.1830.0611.tml,4,e236,ei277,train,hint,READER,there was no hint of trouble in the last conversation,10,0,0,0,0,0,0
ABC19980114.1830.0611.tml,12,e61,ei267,train,response,READER,there is a response,2,8,0,0,0,0,0
ABC19980114.1830.0611.tml,16,e235,ei275,train,contact,READER,controllers could contact the plane,0,10,0,0,0,0,0
ABC19980120.1830.0957.tml,10,e99,ei432,train,tolerate,READER,the United States tolerates totalitarian rule,0,8,0,2,0,0,0
ABC19980120.1830.0957.tml,12,e100,ei438,train,able,READER,"Castro will be able to say to the rest of the world, this government is not as closed, as intolerant, as totalitarian as some make it out to be",5,0,2,0,0,0,3
ABC19980120.1830.0957.tml,13,e107,ei446,train,relationship,READER,there will be a more productive relationship between Cuba and the world,0,0,0,0,8,0,2
ABC19980120.1830.0957.tml,15,e52,ei450,train,battle,READER,there will be a battle,0,1,0,7,0,0,2
ABC19980120.1830.0957.tml,15,e53,ei451,train,disappointed,READER,the observers will be disappointed,0,0,9,0,1,0,0
ABC19980120.1830.0957.tml,19,e64,ei459,train,persuade,READER,the Pope's visit will persuade a great many more Cubans to break loose of the Cuban government,0,0,0,1,9,0,0
ABC19980120.1830.0957.tml,19,e66,ei460,train,break,READER,many more Cubans will break loose of the Cuban government,1,0,0,0,5,0,4
ABC19980304.1830.1636.tml,7,e254,ei289,train,in,READER,a woman had been in charge,1,9,0,0,0,0,0
ABC19980304.1830.1636.tml,15,e24,ei280,train,hurried,READER,someone hurried her up,2,8,0,0,0,0,0
ABC19980304.1830.1636.tml,16,e25,ei281,train,held,READER,someone held her back,1,9,0,0,0,0,0
AP900815-0044.tml,3,e10,ei1524,train,release,READER,Saddam Hussein will release soldiers captured during the Iran-Iraq war,1,0,4,0,3,0,2
AP900815-0044.tml,9,e43,ei1547,train,suggest,READER,Bush suggested that American forces could be in the gulf region for some time,1,0,6,0,2,0,1
AP900815-0044.tml,12,e61,ei1558,train,read,READER,a letter was read,10,0,0,0,0,0,0
AP900815-0044.tml,14,e75,ei1569,train,accept,READER,Saddam accepted a border demarcation treaty,2,0,2,0,6,0,0
AP900815-0044.tml,15,e84,ei1577,train,aimed,READER,the move aimed at heading off more trouble with Iran,3,0,4,0,2,0,1
AP900815-0044.tml,18,e100,ei1592,train,urging,READER,Dick Cheney is urging Bush to order a national callup of armed forces reserves for active duty,0,1,2,0,5,0,2
AP900815-0044.tml,18,e101,ei1593,train,order,READER,Bush will order a national callup of armed forces reserves for active duty,0,0,0,0,6,0,4
AP900815-0044.tml,18,e103,ei1595,train,duty,READER,there will be active duty,1,0,0,0,5,0,4
AP900815-0044.tml,19,e107,ei1598,train,call,READER,"Bush will call up to 200,000 reservists",0,0,0,0,3,0,7
AP900815-0044.tml,19,e110,ei1599,train,seeking,READER,Bush will seek congressional approval,0,2,0,0,0,0,8
AP900815-0044.tml,30,e158,ei1639,train,identified,READER,the spokesman was identified,1,9,0,0,0,0,0
AP900815-0044.tml,40,e198,ei1667,train,disclosed,READER,the size of the contingent was disclosed,0,10,0,0,0,0,0
AP900815-0044.tml,46,e220,ei1683,train,discuss,READER,he discussed the details,0,10,0,0,0,0,0
AP900815-0044.tml,47,e233,ei1692,train,conference,READER,there will be an international conference,1,0,3,0,2,0,4
AP900815-0044.tml,51,e255,ei1711,train,blockade,READER,there will be an anti-Iraq naval blockade,2,0,2,0,2,0,4
AP900815-0044.tml,59,e285,ei1734,train,committed,READER,"at least 50,000 U.S. troops will be committed to Desert Shield within weeks",1,0,9,0,0,0,0
AP900816-0139.tml,6,e27,ei1554,train,entry,READER,there is entry of foodstuffs,0,10,0,0,0,0,0
AP900816-0139.tml,13,e44,ei1577,train,protect,READER,the roundup protects Iraq,3,0,3,0,2,0,2
AP900816-0139.tml,19,e233,ei1588,train,expansionism,READER,there is Iraqi expansionism,0,0,2,0,3,0,5
