=	 ( mertz puppy )	 ( mertz puppy )	=
#	 ( mouse pony )	 ( mouse spotted )	=
#	 ( mertz spotted )	 ( mertz dog )	=
#	 ( ( ( ollie ( and abby ) ) ( or abby ) ) puppy )	 ( ollie puppy )	#
#	 ( pumpkin striped )	 ( ( mouse ( or mouse ) ) striped )	#
#	 ( ( ollie ( or millie ) ) spotted )	 ( ( ollie ( or millie ) ) dog )	=
|	 ( ollie kitten )	 ( ollie dog )	=
#	 ( ollie pet )	 ( ollie dog )	=
>	 ( ( mertz ( or ( ollie ( or mertz ) ) ) ) cat )	 ( ollie kitten )	>
#	 ( mouse cat )	 ( marcel cat )	#
#	 ( ( ( abby ( and pumpkin ) ) ( or pumpkin ) ) striped )	 ( mertz striped )	#
|	 ( ollie puppy )	 ( ollie cat )	=
#	 ( millie pony )	 ( millie pet )	=
|	 ( ( marcel ( or ( marcel ( or oona ) ) ) ) kitten )	 ( marcel puppy )	>
#	 ( pumpkin spotted )	 ( pumpkin pony )	=
#	 ( ollie dog )	 ( ollie spotted )	=
<	 ( marcel kitten )	 ( marcel cat )	=
#	 ( marcel striped )	 ( marcel pony )	=
#	 ( marcel puppy )	 ( ( ( marcel ( and abby ) ) ( or marcel ) ) pet )	=
|	 ( mouse pony )	 ( mouse dog )	=
=	 ( mertz striped )	 ( mertz striped )	=
>	 ( ( oona ( or mertz ) ) pony )	 ( oona pony )	>
<	 ( ( millie ( and mouse ) ) striped )	 ( millie striped )	<
<	 ( ( mertz ( and abby ) ) kitten )	 ( abby kitten )	<
#	 ( ( millie ( or ( millie ( and marcel ) ) ) ) spotted )	 ( millie pet )	=
#	 ( marcel cat )	 ( marcel striped )	=
|	 ( mertz pony )	 ( mertz cat )	=
|	 ( mertz dog )	 ( ( ( millie ( or millie ) ) ( and mertz ) ) kitten )	>
<	 ( ( abby ( and ( mertz ( and pumpkin ) ) ) ) puppy )	 ( abby dog )	<
|	 ( millie cat )	 ( millie dog )	=
#	 ( millie spotted )	 ( millie dog )	=
^	 ( mouse striped )	 ( mouse spotted )	=
|	 ( pumpkin dog )	 ( pumpkin cat )	=
>	 ( millie cat )	 ( millie kitten )	=
#	 ( mertz pony )	 ( marcel pony )	#
>	 ( pumpkin cat )	 ( ( ( mouse ( and pumpkin ) ) ( and pumpkin ) ) kitten )	>
#	 ( oona pony )	 ( abby pony )	#
#	 ( ( millie ( and millie ) ) dog )	 ( millie spotted )	=
#	 ( abby pet )	 ( abby cat )	=
|	 ( marcel dog )	 ( marcel pony )	=
#	 ( millie spotted )	 ( ollie striped )	#
#	 ( marcel puppy )	 ( mertz puppy )	#
|	 ( abby kitten )	 ( abby spotted )	=
#	 ( oona pony )	 ( millie pony )	#
>	 ( ollie cat )	 ( ollie kitten )	=
#	 ( mouse pony )	 ( millie pony )	#
=	 ( mouse pet )	 ( mouse pet )	=
#	 ( abby striped )	 ( ( marcel ( and ( ollie ( and marcel ) ) ) ) spotted )	#
#	 ( abby dog )	 ( mouse dog )	#
#	 ( millie pony )	 ( ollie pony )	#
>	 ( pumpkin puppy )	 ( ( pumpkin ( and ( marcel ( or mouse ) ) ) ) puppy )	>
#	 ( mouse pet )	 ( marcel pet )	#
>	 ( abby spotted )	 ( abby puppy )	=
>	 ( mertz dog )	 ( mertz puppy )	=
#	 ( pumpkin puppy )	 ( ( oona ( and mouse ) ) puppy )	#
|	 ( ( mouse ( or ollie ) ) striped )	 ( ollie spotted )	>
|	 ( ( ollie ( or mertz ) ) pony )	 ( mertz cat )	>
>	 ( pumpkin spotted )	 ( pumpkin puppy )	=
#	 ( ( ( millie ( and millie ) ) ( or millie ) ) pet )	 ( millie striped )	=
>	 ( millie striped )	 ( millie kitten )	=
#	 ( marcel spotted )	 ( pumpkin spotted )	#
#	 ( oona pet )	 ( ollie pet )	#
<	 ( ( ollie ( and oona ) ) kitten )	 ( oona striped )	<
|	 ( abby kitten )	 ( ( abby ( and abby ) ) spotted )	=
#	 ( mertz kitten )	 ( mertz pet )	=
>	 ( ( mertz ( or abby ) ) striped )	 ( abby kitten )	>
#	 ( ollie striped )	 ( mouse striped )	#
#	 ( ( mertz ( and pumpkin ) ) dog )	 ( marcel dog )	#
#	 ( marcel dog )	 ( marcel striped )	=
#	 ( pumpkin dog )	 ( pumpkin spotted )	=
#	 ( mouse cat )	 ( mouse pet )	=
<	 ( ( oona ( and mertz ) ) striped )	 ( mertz striped )	<
#	 ( mouse pet )	 ( mouse dog )	=
<	 ( ( millie ( and mertz ) ) kitten )	 ( millie kitten )	<
#	 ( pumpkin pet )	 ( pumpkin kitten )	=
|	 ( pumpkin pony )	 ( pumpkin cat )	=
=	 ( oona pony )	 ( oona pony )	=
|	 ( abby puppy )	 ( abby cat )	=
<	 ( ( mouse ( and marcel ) ) cat )	 ( marcel cat )	<
|	 ( mertz spotted )	 ( ( mouse ( and mertz ) ) kitten )	>
<	 ( ( abby ( and ( marcel ( and oona ) ) ) ) kitten )	 ( marcel striped )	<
#	 ( oona pony )	 ( ollie pony )	#
|	 ( millie puppy )	 ( millie striped )	=
