>	 ( ollie spotted )	 ( ( ( ollie ( or marcel ) ) ( and ollie ) ) puppy )	=
>	 ( ( mouse ( or marcel ) ) striped )	 ( ( ( marcel ( or mouse ) ) ( or marcel ) ) kitten )	=
<	 ( mertz dog )	 ( ( mertz ( or ( ( ollie ( and millie ) ) ( and ( pumpkin ( or millie ) ) ) ) ) ) dog )	<
|	 ( ( ( millie ( and ( ollie ( or pumpkin ) ) ) ) ( or ollie ) ) dog )	 ( ollie pony )	>
|	 ( millie kitten )	 ( ( mouse ( and ( millie ( and ( mouse ( and mouse ) ) ) ) ) ) spotted )	>
>	 ( ollie kitten )	 ( ( ( ( oona ( and ollie ) ) ( or ( millie ( or oona ) ) ) ) ( and ( ( pumpkin ( and ollie ) ) ( or ollie ) ) ) ) kitten )	>
>	 ( oona dog )	 ( ( ( oona ( and marcel ) ) ( and ( ( mertz ( or mertz ) ) ( or ( mouse ( or mouse ) ) ) ) ) ) dog )	>
|	 ( ( ( oona ( or ( oona ( or ollie ) ) ) ) ( or ollie ) ) kitten )	 ( ( ( ( mertz ( or ollie ) ) ( and oona ) ) ( or ( ( mertz ( or mertz ) ) ( and ( ollie ( or oona ) ) ) ) ) ) puppy )	>
#	 ( ( pumpkin ( or ( ( mouse ( or millie ) ) ( or pumpkin ) ) ) ) striped )	 ( marcel spotted )	#
#	 ( ( ( mertz ( and abby ) ) ( or ollie ) ) striped )	 ( ( ( mertz ( or ( pumpkin ( or mertz ) ) ) ) ( or ( ( mertz ( and ollie ) ) ( and ( ollie ( or ollie ) ) ) ) ) ) spotted )	#
|	 ( marcel cat )	 ( ( ( ( oona ( or millie ) ) ( and ( millie ( or oona ) ) ) ) ( and marcel ) ) puppy )	>
|	 ( ( mertz ( or ( ( oona ( or mouse ) ) ( or oona ) ) ) ) pony )	 ( oona puppy )	>
#	 ( ( ( mouse ( or mouse ) ) ( or ( mouse ( and mouse ) ) ) ) puppy )	 ( ( abby ( and ( ( ollie ( or ollie ) ) ( and ( ollie ( or pumpkin ) ) ) ) ) ) puppy )	#
|	 ( mouse cat )	 ( ( ( mouse ( or ( mouse ( and oona ) ) ) ) ( and mouse ) ) dog )	=
#	 ( ( oona ( or mouse ) ) kitten )	 ( ( ( marcel ( or ( mouse ( or ollie ) ) ) ) ( or ( oona ( and ( marcel ( and mouse ) ) ) ) ) ) kitten )	#
#	 ( mouse kitten )	 ( ( abby ( or ( millie ( and ( mouse ( and mertz ) ) ) ) ) ) kitten )	#
|	 ( ( ( pumpkin ( or ( millie ( and millie ) ) ) ) ( or pumpkin ) ) pony )	 ( ( millie ( or ( ( pumpkin ( and abby ) ) ( or pumpkin ) ) ) ) cat )	=
>	 ( ( ( millie ( or ( millie ( or pumpkin ) ) ) ) ( and ( millie ( or ( pumpkin ( or millie ) ) ) ) ) ) dog )	 ( pumpkin dog )	>
v	 ( ollie striped )	 ( ( ( ( ollie ( or oona ) ) ( or ( oona ( and abby ) ) ) ) ( or abby ) ) spotted )	<
<	 ( ( abby ( and ( ( millie ( or oona ) ) ( and millie ) ) ) ) spotted )	 ( millie spotted )	<
|	 ( ( ( ( oona ( or oona ) ) ( or ( oona ( or mouse ) ) ) ) ( and millie ) ) puppy )	 ( ( millie ( and ( oona ( and ( mouse ( and oona ) ) ) ) ) ) cat )	>
#	 ( ollie cat )	 ( ( ( ( oona ( or ollie ) ) ( and mertz ) ) ( or mertz ) ) cat )	#
#	 ( ( ( ( mertz ( or oona ) ) ( and ( abby ( and abby ) ) ) ) ( or abby ) ) striped )	 ( abby dog )	=
>	 ( ( ( marcel ( or ( abby ( or mertz ) ) ) ) ( or ( ( abby ( or mertz ) ) ( or ( mertz ( or abby ) ) ) ) ) ) dog )	 ( ( ( marcel ( and millie ) ) ( or marcel ) ) dog )	>
<	 ( ( millie ( and mertz ) ) kitten )	 ( ( mouse ( or ( mertz ( or millie ) ) ) ) striped )	<
#	 ( ( ( ( millie ( or abby ) ) ( and ( pumpkin ( or abby ) ) ) ) ( or ( ( abby ( or millie ) ) ( and pumpkin ) ) ) ) striped )	 ( ( mertz ( or ( ( abby ( and mertz ) ) ( or millie ) ) ) ) striped )	#
#	 ( oona pony )	 ( ( oona ( or ( oona ( and millie ) ) ) ) spotted )	=
#	 ( ( mertz ( and ( ( millie ( or mertz ) ) ( or millie ) ) ) ) striped )	 ( pumpkin spotted )	#
|	 ( ( mouse ( or pumpkin ) ) puppy )	 ( ( pumpkin ( and ( abby ( and marcel ) ) ) ) striped )	>
#	 ( mouse pony )	 ( ( mouse ( and ( ( mouse ( or marcel ) ) ( or ( abby ( and ollie ) ) ) ) ) ) striped )	=
#	 ( ( ( millie ( or ( millie ( or millie ) ) ) ) ( and ( mouse ( and ( millie ( and millie ) ) ) ) ) ) spotted )	 ( ( ( ( ollie ( or oona ) ) ( and ollie ) ) ( and ollie ) ) spotted )	#
|	 ( ollie kitten )	 ( ( ( ollie ( and ( oona ( or pumpkin ) ) ) ) ( and ( ( abby ( or ollie ) ) ( or pumpkin ) ) ) ) spotted )	>
|	 ( oona puppy )	 ( ( ( ( oona ( and mouse ) ) ( and marcel ) ) ( and oona ) ) cat )	>
#	 ( ( ( ( ollie ( and marcel ) ) ( or ( oona ( or ollie ) ) ) ) ( or ( ( ollie ( and marcel ) ) ( and ( oona ( or oona ) ) ) ) ) ) striped )	 ( abby striped )	#
<	 ( ( ( mertz ( and ( oona ( or oona ) ) ) ) ( and ( ( mertz ( or oona ) ) ( and ollie ) ) ) ) puppy )	 ( ( ( oona ( or mertz ) ) ( or ( mertz ( and ( mouse ( or oona ) ) ) ) ) ) dog )	<
#	 ( oona dog )	 ( ( ( ( marcel ( or marcel ) ) ( and mertz ) ) ( and ( ( mertz ( and pumpkin ) ) ( and ( mertz ( or pumpkin ) ) ) ) ) ) dog )	#
#	 ( ( ( marcel ( and pumpkin ) ) ( and marcel ) ) kitten )	 ( abby kitten )	#
|	 ( ( mertz ( and ( ( marcel ( or mertz ) ) ( or ( marcel ( or abby ) ) ) ) ) ) dog )	 ( mertz pony )	=
|	 ( ( marcel ( or ( ( pumpkin ( or oona ) ) ( or ( ollie ( or pumpkin ) ) ) ) ) ) puppy )	 ( ( marcel ( and ( ( ollie ( or oona ) ) ( and ( ollie ( or ollie ) ) ) ) ) ) kitten )	>
#	 ( ( ( ollie ( and oona ) ) ( or ( ( abby ( and ollie ) ) ( or abby ) ) ) ) kitten )	 ( ( oona ( or ( ( oona ( and ollie ) ) ( and millie ) ) ) ) kitten )	#
#	 ( pumpkin puppy )	 ( ( ( pumpkin ( or ( millie ( or oona ) ) ) ) ( and ( ( oona ( or oona ) ) ( and ( millie ( and abby ) ) ) ) ) ) puppy )	#
<	 ( ( oona ( and ( ( mertz ( or oona ) ) ( and ( mertz ( and mertz ) ) ) ) ) ) kitten )	 ( mertz kitten )	<
|	 ( ( ( ( pumpkin ( and pumpkin ) ) ( and ( ollie ( or ollie ) ) ) ) ( or oona ) ) kitten )	 ( ( oona ( and pumpkin ) ) pony )	>
<	 ( mouse dog )	 ( ( marcel ( or ( mouse ( and ( mouse ( or marcel ) ) ) ) ) ) dog )	<
#	 ( ( ( ( abby ( or marcel ) ) ( or ( abby ( and mertz ) ) ) ) ( and ( abby ( or ( mertz ( and mertz ) ) ) ) ) ) spotted )	 ( ( ( abby ( or millie ) ) ( and millie ) ) spotted )	#
|	 ( ( mertz ( and ( ( mouse ( or mertz ) ) ( and ( mertz ( or ollie ) ) ) ) ) ) kitten )	 ( ( mertz ( and ( millie ( and mouse ) ) ) ) puppy )	>
<	 ( ( abby ( and ( pumpkin ( or abby ) ) ) ) kitten )	 ( ( ( ( pumpkin ( or pumpkin ) ) ( or ( marcel ( or abby ) ) ) ) ( or oona ) ) kitten )	<
|	 ( ( ( marcel ( and marcel ) ) ( or mouse ) ) puppy )	 ( ( ( mouse ( and ( abby ( and marcel ) ) ) ) ( and ( ( marcel ( and abby ) ) ( or mouse ) ) ) ) kitten )	>
|	 ( ( millie ( and ( pumpkin ( or ( millie ( or oona ) ) ) ) ) ) cat )	 ( ( ( ( mertz ( and millie ) ) ( and mertz ) ) ( and millie ) ) dog )	>
<	 ( ( marcel ( or ( marcel ( and ( marcel ( or marcel ) ) ) ) ) ) kitten )	 ( ( abby ( or marcel ) ) striped )	<
|	 ( ( ( ollie ( or ollie ) ) ( or ( mertz ( and ( mertz ( or mertz ) ) ) ) ) ) cat )	 ( mertz dog )	>
<	 ( ( ( marcel ( and marcel ) ) ( and ollie ) ) pet )	 ( ( ( ( pumpkin ( or marcel ) ) ( or marcel ) ) ( or ( ( abby ( and ollie ) ) ( and ( ollie ( and marcel ) ) ) ) ) ) pet )	<
#	 ( oona spotted )	 ( ( ( marcel ( and ( marcel ( and ollie ) ) ) ) ( and pumpkin ) ) spotted )	#
#	 ( ( mertz ( and mertz ) ) pony )	 ( ( ollie ( and ( ( mertz ( and ollie ) ) ( or ( pumpkin ( or marcel ) ) ) ) ) ) pony )	#
=	 ( marcel puppy )	 ( ( marcel ( or ( marcel ( and ( millie ( or mouse ) ) ) ) ) ) puppy )	=
<	 ( mertz kitten )	 ( ( ( mertz ( or ( oona ( and mertz ) ) ) ) ( or marcel ) ) kitten )	<
|	 ( ( ( millie ( or ( ollie ( or millie ) ) ) ) ( or ( ollie ( or ( pumpkin ( and pumpkin ) ) ) ) ) ) striped )	 ( ( ( ( millie ( or marcel ) ) ( or ( pumpkin ( and millie ) ) ) ) ( and ( marcel ( and ( millie ( and pumpkin ) ) ) ) ) ) spotted )	>
|	 ( ( ( mouse ( or ollie ) ) ( and ( ( pumpkin ( and pumpkin ) ) ( and ( ollie ( or ollie ) ) ) ) ) ) dog )	 ( ( ( ollie ( or ( ollie ( and pumpkin ) ) ) ) ( and ( pumpkin ( and pumpkin ) ) ) ) kitten )	=
<	 ( ( ( mertz ( or mertz ) ) ( and ( ( abby ( and millie ) ) ( or abby ) ) ) ) pet )	 ( ( abby ( or ( abby ( and mertz ) ) ) ) pet )	<
|	 ( ( ( pumpkin ( or ( pumpkin ( or marcel ) ) ) ) ( and marcel ) ) cat )	 ( ( oona ( and ( ( mertz ( and mertz ) ) ( and ( pumpkin ( and marcel ) ) ) ) ) ) puppy )	>
|	 ( ( ollie ( or millie ) ) striped )	 ( ( ollie ( and ( ( pumpkin ( and ollie ) ) ( or millie ) ) ) ) spotted )	>
#	 ( millie puppy )	 ( ( ( ( oona ( or millie ) ) ( and pumpkin ) ) ( or ( abby ( and ( millie ( or millie ) ) ) ) ) ) puppy )	#
>	 ( ( ( marcel ( and marcel ) ) ( or ( millie ( or ollie ) ) ) ) dog )	 ( ( ollie ( or millie ) ) dog )	>
|	 ( marcel cat )	 ( ( marcel ( and ( ( mouse ( and marcel ) ) ( and marcel ) ) ) ) puppy )	>
|	 ( ( abby ( or ( abby ( or ( marcel ( or mertz ) ) ) ) ) ) dog )	 ( mertz kitten )	>
#	 ( ( ( ( mertz ( or millie ) ) ( and mouse ) ) ( or ( ( ollie ( and mertz ) ) ( or ( millie ( and mertz ) ) ) ) ) ) striped )	 ( ( ollie ( and mouse ) ) spotted )	#
>	 ( ( millie ( or ( pumpkin ( and ( pumpkin ( and pumpkin ) ) ) ) ) ) spotted )	 ( millie puppy )	>
>	 ( ( ( ollie ( and ( ollie ( or marcel ) ) ) ) ( or oona ) ) dog )	 ( ( marcel ( and ( oona ( and ollie ) ) ) ) dog )	>
>	 ( ( ( ( abby ( or oona ) ) ( and pumpkin ) ) ( and ( ( pumpkin ( or mertz ) ) ( or oona ) ) ) ) kitten )	 ( ( ( oona ( and oona ) ) ( and pumpkin ) ) kitten )	>
>	 ( ( abby ( or ( pumpkin ( and pumpkin ) ) ) ) dog )	 ( pumpkin dog )	>
#	 ( marcel spotted )	 ( ( ( ( marcel ( and oona ) ) ( or oona ) ) ( and oona ) ) striped )	#
#	 ( ( ( pumpkin ( and ( mertz ( or millie ) ) ) ) ( and ( ( millie ( and millie ) ) ( or pumpkin ) ) ) ) pet )	 ( ( ollie ( and mertz ) ) pet )	#
