%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	 ( ( group:A_group ( of ( kids ( is ( playing ( in ( ( yard:a_yard and ) ( an ( old man ) ) ) ) ) ) ) ) ) standing:is_standing_in_the_background ) 	 ( ( ( ( group:A_group ( of ( boys ( in yard:a_yard ) ) ) ) ( is playing ) ) and ) ( ( a man ) standing:is_standing_in_the_background ) ) 	4.5	1
NEUTRAL	 ( ( ( ( group:A_group ( of children ) ) ( is ( playing ( in ( the house ) ) ) ) ) and ) ( there ( is ( ( no ( man standing ) ) the:in_the_background ) ) ) ) 	 ( ( group:A_group ( of ( kids ( is ( playing ( in ( ( ( a yard ) and ) ( an ( old man ) ) ) ) ) ) ) ) ) ( is ( standing the:in_the_background ) ) ) 	3.2	2
ENTAILMENT	 ( ( The ( young boys ) ) ( are ( playing ( ( ( outdoors and ) ( the man ) ) ( is ( smiling nearby ) ) ) ) ) ) 	 ( ( The kids ) ( are ( playing ( outdoors ( near ( ( a man ) ( with ( a smile ) ) ) ) ) ) ) ) 	4.7	3
NEUTRAL	 ( ( The kids ) ( are ( playing ( outdoors ( near ( ( a man ) ( with ( a smile ) ) ) ) ) ) ) ) 	 ( ( ( A group ) ( of ( kids ( is ( playing ( in ( ( ( a yard ) and ) ( an ( old man ) ) ) ) ) ) ) ) ) ( is ( standing ( in ( the background ) ) ) ) ) 	3.4	5
NEUTRAL	 ( ( The ( young boys ) ) ( are ( playing ( ( ( outdoors and ) ( the man ) ) ( is ( smiling nearby ) ) ) ) ) ) 	 ( ( ( A group ) ( of ( kids ( is ( playing ( in ( ( ( a yard ) and ) ( an ( old man ) ) ) ) ) ) ) ) ) ( is ( standing ( in ( the background ) ) ) ) ) 	3.7	9
NEUTRAL	 ( dogs:Two_dogs ( are fighting ) ) 	 ( dogs:Two_dogs ( are ( ( wrestling and ) hugging ) ) ) 	4	12
NEUTRAL	 ( ( A ( brown dog ) ) ( is ( attacking ( ( another animal ) ( in ( front ( of ( ( the man ) ( in pants ) ) ) ) ) ) ) ) ) 	 ( ( Two dogs ) ( are fighting ) ) 	3.5	14
NEUTRAL	 ( ( A ( brown dog ) ) ( is ( attacking ( ( another animal ) ( in ( front ( of ( ( the man ) ( in pants ) ) ) ) ) ) ) ) ) 	 ( ( Two dogs ) ( are ( ( wrestling and ) hugging ) ) ) 	3.2	18
NEUTRAL	 ( Nobody ( is ( riding ( ( the bicycle ) ( on ( one wheel ) ) ) ) ) ) 	 ( ( ( A person ) ( in ( a ( black jacket ) ) ) ) ( is ( ( doing tricks ) ( on ( a motorbike ) ) ) ) ) 	2.8	25
NEUTRAL	 ( ( A person ) ( is ( riding ( ( the bicycle ) ( on ( one wheel ) ) ) ) ) ) 	 ( ( ( A man ) ( in ( a ( black jacket ) ) ) ) ( is ( ( doing tricks ) ( on ( a motorbike ) ) ) ) ) 	3.7	26
