<	two hippo	some hippo
<	two hungry	some hungry
<	two non-ape	some non-ape
<	two ape	some ape
<	two animal	some animal
<	two dog	some dog
<	two cat	some cat
<	two unable	some unable
<	two able	some able
<	two Thai	some Thai
<	two Asian	some Asian
<	two bird	some bird
<	two crow	some crow
<	two sofa	some sofa
<	two couch	some couch
<	two snail	some snail
<	two vertebrate	some vertebrate
<	two invertebrate	some invertebrate
<	two bark	some bark
<	two puppy	some puppy
<	two feline	some feline
<	two mobile	some mobile
<	two immobile	some immobile
<	two dead	some dead
<	two live	some live
<	two European	some European
<	two French	some French
<	two Parisian	some Parisian
<	two human	some human
<	two animate	some animate
<	two inanimate	some inanimate
<	two seat	some seat
<	two bench	some bench
<	two woody	some woody
<	two plant	some plant
<	two tree	some tree
<	two oak	some oak
<	two bush	some bush
<	two destructible	some destructible
<	two indestructible	some indestructible
<	two mammal	some mammal
