=	 ( mertz puppy )	 ( mertz puppy )	=
#	 ( mouse pony )	 ( mouse spotted )	=
#	 ( mertz spotted )	 ( mertz dog )	=
#	 ( pumpkin striped )	 ( ( mouse ( or mouse ) ) striped )	#
|	 ( ollie kitten )	 ( ollie dog )	=
#	 ( ollie pet )	 ( ollie dog )	=
#	 ( mouse cat )	 ( marcel cat )	#
|	 ( ollie puppy )	 ( ollie cat )	=
#	 ( millie pony )	 ( millie pet )	=
#	 ( pumpkin spotted )	 ( pumpkin pony )	=
#	 ( ollie dog )	 ( ollie spotted )	=
<	 ( marcel kitten )	 ( marcel cat )	=
#	 ( marcel striped )	 ( marcel pony )	=
|	 ( mouse pony )	 ( mouse dog )	=
=	 ( mertz striped )	 ( mertz striped )	=
>	 ( ( oona ( or mertz ) ) pony )	 ( oona pony )	>
<	 ( ( mertz ( and abby ) ) kitten )	 ( abby kitten )	<
#	 ( marcel cat )	 ( marcel striped )	=
|	 ( mertz pony )	 ( mertz cat )	=
|	 ( millie cat )	 ( millie dog )	=
#	 ( millie spotted )	 ( millie dog )	=
^	 ( mouse striped )	 ( mouse spotted )	=
|	 ( pumpkin dog )	 ( pumpkin cat )	=
>	 ( millie cat )	 ( millie kitten )	=
#	 ( mertz pony )	 ( marcel pony )	#
#	 ( oona pony )	 ( abby pony )	#
#	 ( ( millie ( and millie ) ) dog )	 ( millie spotted )	=
#	 ( abby pet )	 ( abby cat )	=
|	 ( marcel dog )	 ( marcel pony )	=
#	 ( millie spotted )	 ( ollie striped )	#
#	 ( marcel puppy )	 ( mertz puppy )	#
|	 ( abby kitten )	 ( abby spotted )	=
#	 ( oona pony )	 ( millie pony )	#
>	 ( ollie cat )	 ( ollie kitten )	=
#	 ( mouse pony )	 ( millie pony )	#
=	 ( mouse pet )	 ( mouse pet )	=
#	 ( abby dog )	 ( mouse dog )	#
#	 ( millie pony )	 ( ollie pony )	#
#	 ( mouse pet )	 ( marcel pet )	#
>	 ( abby spotted )	 ( abby puppy )	=
>	 ( mertz dog )	 ( mertz puppy )	=
#	 ( pumpkin puppy )	 ( ( oona ( and mouse ) ) puppy )	#
|	 ( ( mouse ( or ollie ) ) striped )	 ( ollie spotted )	>
|	 ( ( ollie ( or mertz ) ) pony )	 ( mertz cat )	>
>	 ( pumpkin spotted )	 ( pumpkin puppy )	=
>	 ( millie striped )	 ( millie kitten )	=
#	 ( marcel spotted )	 ( pumpkin spotted )	#
#	 ( oona pet )	 ( ollie pet )	#
<	 ( ( ollie ( and oona ) ) kitten )	 ( oona striped )	<
|	 ( abby kitten )	 ( ( abby ( and abby ) ) spotted )	=
#	 ( mertz kitten )	 ( mertz pet )	=
>	 ( ( mertz ( or abby ) ) striped )	 ( abby kitten )	>
#	 ( ollie striped )	 ( mouse striped )	#
#	 ( ( mertz ( and pumpkin ) ) dog )	 ( marcel dog )	#
#	 ( marcel dog )	 ( marcel striped )	=
#	 ( pumpkin dog )	 ( pumpkin spotted )	=
#	 ( mouse cat )	 ( mouse pet )	=
<	 ( ( oona ( and mertz ) ) striped )	 ( mertz striped )	<
#	 ( mouse pet )	 ( mouse dog )	=
<	 ( ( millie ( and mertz ) ) kitten )	 ( millie kitten )	<
#	 ( pumpkin pet )	 ( pumpkin kitten )	=
|	 ( pumpkin pony )	 ( pumpkin cat )	=
=	 ( oona pony )	 ( oona pony )	=
|	 ( abby puppy )	 ( abby cat )	=
<	 ( ( mouse ( and marcel ) ) cat )	 ( marcel cat )	<
|	 ( mertz spotted )	 ( ( mouse ( and mertz ) ) kitten )	>
#	 ( oona pony )	 ( ollie pony )	#
|	 ( millie puppy )	 ( millie striped )	=
#	 ( mertz pony )	 ( mertz striped )	=
>	 ( abby dog )	 ( abby puppy )	=
>	 ( marcel spotted )	 ( marcel puppy )	=
#	 ( oona cat )	 ( oona spotted )	=
|	 ( mertz puppy )	 ( ( mertz ( and ollie ) ) pony )	>
#	 ( millie striped )	 ( ( oona ( and marcel ) ) striped )	#
#	 ( millie pet )	 ( millie dog )	=
|	 ( oona puppy )	 ( oona pony )	=
#	 ( mouse pet )	 ( ( abby ( or ollie ) ) pet )	#
#	 ( mouse pet )	 ( mouse kitten )	=
#	 ( mertz spotted )	 ( mertz pet )	=
#	 ( ( millie ( or ollie ) ) cat )	 ( mertz cat )	#
#	 ( pumpkin cat )	 ( pumpkin pet )	=
|	 ( ollie dog )	 ( ollie kitten )	=
#	 ( abby spotted )	 ( abby dog )	=
|	 ( mertz puppy )	 ( mertz pony )	=
|	 ( mertz cat )	 ( mertz pony )	=
>	 ( mertz striped )	 ( mertz kitten )	=
|	 ( ( pumpkin ( or mertz ) ) puppy )	 ( pumpkin kitten )	>
#	 ( mouse dog )	 ( ( oona ( and abby ) ) dog )	#
^	 ( millie spotted )	 ( millie striped )	=
#	 ( abby cat )	 ( ( oona ( and mouse ) ) cat )	#
#	 ( millie dog )	 ( ollie dog )	#
#	 ( mouse spotted )	 ( ollie striped )	#
|	 ( mertz striped )	 ( mertz puppy )	=
#	 ( millie pet )	 ( millie pony )	=
|	 ( abby puppy )	 ( abby kitten )	=
