>	no ( bark hippo )	no hippo
>	no ( bark hungry )	no hungry
>	no ( bark non-ape )	no non-ape
>	no ( bark ape )	no ape
>	no ( bark animal )	no animal
>	no ( bark dog )	no dog
>	no ( bark cat )	no cat
>	no ( bark unable )	no unable
>	no ( bark able )	no able
>	no ( bark Thai )	no Thai
>	no ( bark Asian )	no Asian
>	no ( bark bird )	no bird
>	no ( bark crow )	no crow
>	no ( bark sofa )	no sofa
>	no ( bark couch )	no couch
>	no ( bark snail )	no snail
>	no ( bark vertebrate )	no vertebrate
>	no ( bark invertebrate )	no invertebrate
>	no ( bark bark )	no bark
>	no ( bark puppy )	no puppy
>	no ( bark feline )	no feline
>	no ( bark mobile )	no mobile
>	no ( bark immobile )	no immobile
>	no ( bark dead )	no dead
>	no ( bark live )	no live
>	no ( bark European )	no European
>	no ( bark French )	no French
>	no ( bark Parisian )	no Parisian
>	no ( bark human )	no human
>	no ( bark animate )	no animate
>	no ( bark inanimate )	no inanimate
>	no ( bark seat )	no seat
>	no ( bark bench )	no bench
>	no ( bark woody )	no woody
>	no ( bark plant )	no plant
>	no ( bark tree )	no tree
>	no ( bark oak )	no oak
>	no ( bark bush )	no bush
>	no ( bark destructible )	no destructible
>	no ( bark indestructible )	no indestructible
>	no ( bark mammal )	no mammal
