%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	 ( young:A_young_girl ( is dancing ) ) 	 ( young:A_young_girl ( is ( standing ( on ( one leg ) ) ) ) ) 	2.7	6592
NEUTRAL	 ( ( A man ) ( is ( ( falling off ) ( ( a surfboard ) ( in ( the water ) ) ) ) ) ) 	 ( ( A surfer ) ( is ( riding ( the wave ) ) ) ) 	3.5	7464
ENTAILMENT	 ( ( A man ) ( is ( walking ( in ( the rain ) ) ) ) ) 	 ( It ( is ( raining ( on ( a ( walking man ) ) ) ) ) ) 	4.9	3670
NEUTRAL	 ( ( A ( white dog ) ) ( is ( ( approaching ( a ( golden dog ) ) ) ( on ( pebbly beach ) ) ) ) ) 	 ( ( Two dogs ) ( are ( playing ( on ( a ( rocky beach ) ) ) ) ) ) 	2.9	9036
ENTAILMENT	 ( man:A_man_and_a_woman ( are ( ( walking together ) ( through ( the woods ) ) ) ) ) 	 ( man:A_man_and_a_woman ( are ( walking ( through ( a ( wooded area ) ) ) ) ) ) 	4.6	1192
NEUTRAL	 ( ( A woman ) ( is ( slicing ( a carrot ) ) ) ) 	 ( ( A potato ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) ) 	3	1170
NEUTRAL	 ( ( ( ( ( A ( little boy ) ) , ) ( who ( looks fearful ) ) ) , ) ( ( is ( on ( a ( climbing wall ) ) ) ) . ) ) 	 ( ( A boy ) ( ( ( is ( ( climbing up ) ( ( a wall ) ( artificially ( built ( for climbing ) ) ) ) ) ) and ) ( is ( attached ( to ( a rope ) ) ) ) ) ) 	3.5	619
NEUTRAL	 ( dog:A_dog ( is ( ( herding pack:a_pack_of_white_sheep ) a:on_a_dusty_farm ) ) ) 	 ( dog:A_dog ( is ( ( scattering pack:a_pack_of_white_sheep ) a:on_a_dusty_farm ) ) ) 	3.8	6396
NEUTRAL	 ( ( men:Two_men ( in ( a race ) ) ) ( are ( flipping ( ( the tires ) ( of ( a tractor ) ) ) ) ) ) 	 ( men:Two_men ( are ( competing ( in ( a ( tire ( rolling race ) ) ) ) ) ) ) 	3.7	4411
ENTAILMENT	 ( girl:A_girl ( ( ( is ( wearing ( white clothes ) ) ) and ) dancing:is_dancing ) ) 	 ( ( girl:A_girl ( in white ) ) dancing:is_dancing ) 	4.9	218
ENTAILMENT	 ( ( The woman ) ( is ( measuring ( the ( other woman ) ) ) ) ) 	 ( ( A woman ) ( is ( being ( measured ( by ( another woman ) ) ) ) ) ) 	4.9	1333
ENTAILMENT	 ( black:A_black_and_white_dog ( is ( ( carrying ( a ( huge stick ) ) ) ( on ( the ( green grass ) ) ) ) ) ) 	 ( ( black:A_black_and_white_dog ( with ( a ( large branch ) ) ) ) ( is ( running ( in ( the field ) ) ) ) ) 	4.5	9713
