% Removed relations between quantifiers and predicates.

% Predicates %
=	all hippo	all hippo
#	all hungry	all hippo
<	all non-ape	all hippo
#	all ape	all hippo
<	all animal	all hippo
#	all dog	all hippo
#	all cat	all hippo
#	all unable	all hippo
#	all able	all hippo
#	all Thai	all hippo
#	all Asian	all hippo
#	all bird	all hippo
#	all crow	all hippo
#	all sofa	all hippo
#	all couch	all hippo
#	all snail	all hippo
<	all vertebrate	all hippo
#	all invertebrate	all hippo
#	all bark	all hippo
#	all puppy	all hippo
#	all feline	all hippo
<	all mobile	all hippo
#	all immobile	all hippo
#	all dead	all hippo
#	all live	all hippo
#	all European	all hippo
#	all French	all hippo
#	all Parisian	all hippo
#	all human	all hippo
#	all animate	all hippo
#	all inanimate	all hippo
#	all seat	all hippo
#	all bench	all hippo
#	all woody	all hippo
#	all plant	all hippo
#	all tree	all hippo
#	all oak	all hippo
#	all bush	all hippo
<	all destructible	all hippo
#	all indestructible	all hippo
<	all mammal	all hippo
#	all hippo	all hungry
=	all hungry	all hungry
#	all non-ape	all hungry
#	all ape	all hungry
<	all animal	all hungry
#	all dog	all hungry
#	all cat	all hungry
#	all unable	all hungry
#	all able	all hungry
#	all Thai	all hungry
#	all Asian	all hungry
#	all bird	all hungry
#	all crow	all hungry
#	all sofa	all hungry
#	all couch	all hungry
#	all snail	all hungry
#	all vertebrate	all hungry
#	all invertebrate	all hungry
#	all bark	all hungry
#	all puppy	all hungry
#	all feline	all hungry
#	all mobile	all hungry
#	all immobile	all hungry
#	all dead	all hungry
<	all live	all hungry
#	all European	all hungry
#	all French	all hungry
#	all Parisian	all hungry
#	all human	all hungry
<	all animate	all hungry
#	all inanimate	all hungry
#	all seat	all hungry
#	all bench	all hungry
#	all woody	all hungry
#	all plant	all hungry
#	all tree	all hungry
#	all oak	all hungry
#	all bush	all hungry
#	all destructible	all hungry
#	all indestructible	all hungry
#	all mammal	all hungry
>	all hippo	all non-ape
#	all hungry	all non-ape
=	all non-ape	all non-ape
#	all ape	all non-ape
#	all animal	all non-ape
>	all dog	all non-ape
>	all cat	all non-ape
#	all unable	all non-ape
#	all able	all non-ape
#	all Thai	all non-ape
#	all Asian	all non-ape
>	all bird	all non-ape
>	all crow	all non-ape
>	all sofa	all non-ape
>	all couch	all non-ape
>	all snail	all non-ape
#	all vertebrate	all non-ape
>	all invertebrate	all non-ape
#	all bark	all non-ape
>	all puppy	all non-ape
>	all feline	all non-ape
#	all mobile	all non-ape
>	all immobile	all non-ape
#	all dead	all non-ape
#	all live	all non-ape
#	all European	all non-ape
#	all French	all non-ape
#	all Parisian	all non-ape
#	all human	all non-ape
#	all animate	all non-ape
#	all inanimate	all non-ape
>	all seat	all non-ape
>	all bench	all non-ape
>	all woody	all non-ape
>	all plant	all non-ape
>	all tree	all non-ape
>	all oak	all non-ape
>	all bush	all non-ape
#	all destructible	all non-ape
>	all indestructible	all non-ape
#	all mammal	all non-ape
#	all hippo	all ape
#	all hungry	all ape
#	all non-ape	all ape
=	all ape	all ape
<	all animal	all ape
#	all dog	all ape
#	all cat	all ape
#	all unable	all ape
#	all able	all ape
#	all Thai	all ape
#	all Asian	all ape
#	all bird	all ape
#	all crow	all ape
#	all sofa	all ape
#	all couch	all ape
#	all snail	all ape
<	all vertebrate	all ape
#	all invertebrate	all ape
#	all bark	all ape
#	all puppy	all ape
#	all feline	all ape
<	all mobile	all ape
#	all immobile	all ape
#	all dead	all ape
#	all live	all ape
#	all European	all ape
#	all French	all ape
#	all Parisian	all ape
>	all human	all ape
#	all animate	all ape
#	all inanimate	all ape
#	all seat	all ape
#	all bench	all ape
#	all woody	all ape
#	all plant	all ape
#	all tree	all ape
#	all oak	all ape
#	all bush	all ape
<	all destructible	all ape
#	all indestructible	all ape
<	all mammal	all ape
>	all hippo	all animal
>	all hungry	all animal
#	all non-ape	all animal
>	all ape	all animal
=	all animal	all animal
>	all dog	all animal
>	all cat	all animal
#	all unable	all animal
#	all able	all animal
#	all Thai	all animal
#	all Asian	all animal
>	all bird	all animal
>	all crow	all animal
#	all sofa	all animal
#	all couch	all animal
>	all snail	all animal
>	all vertebrate	all animal
>	all invertebrate	all animal
>	all bark	all animal
>	all puppy	all animal
>	all feline	all animal
<	all mobile	all animal
#	all immobile	all animal
#	all dead	all animal
#	all live	all animal
#	all European	all animal
#	all French	all animal
#	all Parisian	all animal
>	all human	all animal
#	all animate	all animal
#	all inanimate	all animal
#	all seat	all animal
#	all bench	all animal
#	all woody	all animal
#	all plant	all animal
#	all tree	all animal
#	all oak	all animal
#	all bush	all animal
<	all destructible	all animal
#	all indestructible	all animal
>	all mammal	all animal
#	all hippo	all dog
#	all hungry	all dog
<	all non-ape	all dog
#	all ape	all dog
<	all animal	all dog
=	all dog	all dog
#	all cat	all dog
#	all unable	all dog
#	all able	all dog
#	all Thai	all dog
#	all Asian	all dog
#	all bird	all dog
#	all crow	all dog
#	all sofa	all dog
#	all couch	all dog
#	all snail	all dog
<	all vertebrate	all dog
#	all invertebrate	all dog
#	all bark	all dog
>	all puppy	all dog
#	all feline	all dog
<	all mobile	all dog
#	all immobile	all dog
#	all dead	all dog
#	all live	all dog
#	all European	all dog
#	all French	all dog
#	all Parisian	all dog
#	all human	all dog
#	all animate	all dog
#	all inanimate	all dog
#	all seat	all dog
#	all bench	all dog
#	all woody	all dog
#	all plant	all dog
#	all tree	all dog
#	all oak	all dog
#	all bush	all dog
<	all destructible	all dog
#	all indestructible	all dog
<	all mammal	all dog
#	all hippo	all cat
#	all hungry	all cat
<	all non-ape	all cat
#	all ape	all cat
<	all animal	all cat
#	all dog	all cat
=	all cat	all cat
#	all unable	all cat
#	all able	all cat
#	all Thai	all cat
#	all Asian	all cat
#	all bird	all cat
#	all crow	all cat
#	all sofa	all cat
#	all couch	all cat
#	all snail	all cat
<	all vertebrate	all cat
#	all invertebrate	all cat
#	all bark	all cat
#	all puppy	all cat
<	all feline	all cat
<	all mobile	all cat
#	all immobile	all cat
#	all dead	all cat
#	all live	all cat
#	all European	all cat
#	all French	all cat
#	all Parisian	all cat
#	all human	all cat
#	all animate	all cat
#	all inanimate	all cat
#	all seat	all cat
#	all bench	all cat
#	all woody	all cat
#	all plant	all cat
#	all tree	all cat
#	all oak	all cat
#	all bush	all cat
<	all destructible	all cat
#	all indestructible	all cat
<	all mammal	all cat
#	all hippo	all unable
#	all hungry	all unable
#	all non-ape	all unable
#	all ape	all unable
#	all animal	all unable
#	all dog	all unable
#	all cat	all unable
=	all unable	all unable
#	all able	all unable
#	all Thai	all unable
#	all Asian	all unable
#	all bird	all unable
#	all crow	all unable
#	all sofa	all unable
#	all couch	all unable
#	all snail	all unable
#	all vertebrate	all unable
#	all invertebrate	all unable
#	all bark	all unable
#	all puppy	all unable
#	all feline	all unable
#	all mobile	all unable
#	all immobile	all unable
#	all dead	all unable
#	all live	all unable
#	all European	all unable
#	all French	all unable
#	all Parisian	all unable
#	all human	all unable
#	all animate	all unable
#	all inanimate	all unable
#	all seat	all unable
#	all bench	all unable
#	all woody	all unable
#	all plant	all unable
#	all tree	all unable
#	all oak	all unable
#	all bush	all unable
#	all destructible	all unable
#	all indestructible	all unable
#	all mammal	all unable
#	all hippo	all able
#	all hungry	all able
#	all non-ape	all able
#	all ape	all able
#	all animal	all able
#	all dog	all able
#	all cat	all able
#	all unable	all able
=	all able	all able
#	all Thai	all able
#	all Asian	all able
#	all bird	all able
#	all crow	all able
#	all sofa	all able
#	all couch	all able
#	all snail	all able
#	all vertebrate	all able
#	all invertebrate	all able
#	all bark	all able
#	all puppy	all able
#	all feline	all able
#	all mobile	all able
#	all immobile	all able
#	all dead	all able
#	all live	all able
#	all European	all able
#	all French	all able
#	all Parisian	all able
#	all human	all able
#	all animate	all able
#	all inanimate	all able
#	all seat	all able
#	all bench	all able
#	all woody	all able
#	all plant	all able
#	all tree	all able
#	all oak	all able
#	all bush	all able
#	all destructible	all able
#	all indestructible	all able
#	all mammal	all able
#	all hippo	all Thai
#	all hungry	all Thai
#	all non-ape	all Thai
#	all ape	all Thai
#	all animal	all Thai
#	all dog	all Thai
#	all cat	all Thai
#	all unable	all Thai
#	all able	all Thai
=	all Thai	all Thai
<	all Asian	all Thai
#	all bird	all Thai
#	all crow	all Thai
#	all sofa	all Thai
#	all couch	all Thai
#	all snail	all Thai
#	all vertebrate	all Thai
#	all invertebrate	all Thai
#	all bark	all Thai
#	all puppy	all Thai
#	all feline	all Thai
#	all mobile	all Thai
#	all immobile	all Thai
#	all dead	all Thai
#	all live	all Thai
#	all European	all Thai
#	all French	all Thai
#	all Parisian	all Thai
#	all human	all Thai
#	all animate	all Thai
#	all inanimate	all Thai
#	all seat	all Thai
#	all bench	all Thai
#	all woody	all Thai
#	all plant	all Thai
#	all tree	all Thai
#	all oak	all Thai
#	all bush	all Thai
#	all destructible	all Thai
#	all indestructible	all Thai
#	all mammal	all Thai
#	all hippo	all Asian
#	all hungry	all Asian
#	all non-ape	all Asian
#	all ape	all Asian
#	all animal	all Asian
#	all dog	all Asian
#	all cat	all Asian
#	all unable	all Asian
#	all able	all Asian
>	all Thai	all Asian
=	all Asian	all Asian
#	all bird	all Asian
#	all crow	all Asian
#	all sofa	all Asian
#	all couch	all Asian
#	all snail	all Asian
#	all vertebrate	all Asian
#	all invertebrate	all Asian
#	all bark	all Asian
#	all puppy	all Asian
#	all feline	all Asian
#	all mobile	all Asian
#	all immobile	all Asian
#	all dead	all Asian
#	all live	all Asian
#	all European	all Asian
#	all French	all Asian
#	all Parisian	all Asian
#	all human	all Asian
#	all animate	all Asian
#	all inanimate	all Asian
#	all seat	all Asian
#	all bench	all Asian
#	all woody	all Asian
#	all plant	all Asian
#	all tree	all Asian
#	all oak	all Asian
#	all bush	all Asian
#	all destructible	all Asian
#	all indestructible	all Asian
#	all mammal	all Asian
#	all hippo	all bird
#	all hungry	all bird
<	all non-ape	all bird
#	all ape	all bird
<	all animal	all bird
#	all dog	all bird
#	all cat	all bird
#	all unable	all bird
#	all able	all bird
#	all Thai	all bird
#	all Asian	all bird
=	all bird	all bird
>	all crow	all bird
#	all sofa	all bird
#	all couch	all bird
#	all snail	all bird
<	all vertebrate	all bird
#	all invertebrate	all bird
#	all bark	all bird
#	all puppy	all bird
#	all feline	all bird
<	all mobile	all bird
#	all immobile	all bird
#	all dead	all bird
#	all live	all bird
#	all European	all bird
#	all French	all bird
#	all Parisian	all bird
#	all human	all bird
#	all animate	all bird
#	all inanimate	all bird
#	all seat	all bird
#	all bench	all bird
#	all woody	all bird
#	all plant	all bird
#	all tree	all bird
#	all oak	all bird
#	all bush	all bird
<	all destructible	all bird
#	all indestructible	all bird
#	all mammal	all bird
#	all hippo	all crow
#	all hungry	all crow
<	all non-ape	all crow
#	all ape	all crow
<	all animal	all crow
#	all dog	all crow
#	all cat	all crow
#	all unable	all crow
#	all able	all crow
#	all Thai	all crow
#	all Asian	all crow
<	all bird	all crow
=	all crow	all crow
#	all sofa	all crow
#	all couch	all crow
#	all snail	all crow
<	all vertebrate	all crow
#	all invertebrate	all crow
#	all bark	all crow
#	all puppy	all crow
#	all feline	all crow
<	all mobile	all crow
#	all immobile	all crow
#	all dead	all crow
#	all live	all crow
#	all European	all crow
#	all French	all crow
#	all Parisian	all crow
#	all human	all crow
#	all animate	all crow
#	all inanimate	all crow
#	all seat	all crow
#	all bench	all crow
#	all woody	all crow
#	all plant	all crow
#	all tree	all crow
#	all oak	all crow
#	all bush	all crow
<	all destructible	all crow
#	all indestructible	all crow
#	all mammal	all crow
#	all hippo	all sofa
#	all hungry	all sofa
<	all non-ape	all sofa
#	all ape	all sofa
#	all animal	all sofa
#	all dog	all sofa
#	all cat	all sofa
#	all unable	all sofa
#	all able	all sofa
#	all Thai	all sofa
#	all Asian	all sofa
#	all bird	all sofa
#	all crow	all sofa
=	all sofa	all sofa
